cleaned_review,hour,weekday,rating,sentiment
pamazing moviep,,,8.0,positive
terrible acting plot,,,2.0,negative
pamazing moviep,,,6.461538461538462,positive
terrible acting plot,,,8.0,positive
pamazing moviep,,,5.0,positive
terrible acting plot,,,2.0,negative
pamazing moviep,,,8.0,positive
terrible acting plot,,,8.0,positive
pamazing moviep,,,10.0,positive
terrible acting plot,,,5.0,positive
pamazing moviep,,,8.0,positive
terrible acting plot,,,2.0,negative
pamazing moviep,,,10.0,positive
terrible acting plot,,,8.0,positive
pamazing moviep,,,6.461538461538462,positive
